cat,x,y,B1,B2,B3,B4,B5
1,415596.01853,1483332.634577,87,106,271,130,3309
2,414143.81652,1481608.14469,98,116,289,135,3322
3,417524.724325,1481222.403532,101,123,304,159,2977
4,420792.178847,1477569.20785,182,214,379,314,1793
5,426578.296231,1480632.446465,158,202,386,313,1957
6,433952.759563,1483185.145311,86,100,244,122,3002
7,440238.071387,1477444.40924,129,157,350,232,2320
8,450698.463991,1475867.40862,123,154,389,220,2847
9,447771.369314,1466825.182042,100,124,254,154,2368
10,450448.86677,1464351.900494,102,119,300,159,2934
