cat,x,y,B1,B2,B3,B4,B5
1,413076.117699,1485451.419787,0.008,0.0102,0.0249,0.012,0.3054
2,416539.921946,1483130.346252,0.0096,0.0113,0.0254,0.0137,0.2964
3,413619.630066,1482194.379053,0.009,0.0108,0.0247,0.0116,0.3311
4,434978.059694,1485551.728098,0.0076,0.0099,0.0256,0.0124,0.3132
5,435666.266124,1481906.874442,0.0086,0.0109,0.0254,0.0134,0.2954
6,426223.05853,1479693.579455,0.0106,0.0131,0.033,0.0173,0.2963
7,434938.700861,1478948.704437,0.0119,0.0146,0.0309,0.019,0.2612
8,455289.355078,1479452.677559,0.0132,0.0163,0.0385,0.0268,0.23
9,447490.461548,1478621.819977,0.0147,0.0187,0.0413,0.0286,0.23
10,452584.199356,1462969.608747,0.0115,0.0143,0.0345,0.0209,0.2577

